Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
29-Oct-2016 10:00,29-Oct-2016 11:00,0.0,0.0770161601651488,0.0,0.0,0.0
29-Oct-2016 11:00,29-Oct-2016 12:00,0.0,0.0891322829271825,2.0,0.0,0.0
29-Oct-2016 12:00,29-Oct-2016 13:00,0.0,0.0,0.0,0.0,0.0
29-Oct-2016 13:00,29-Oct-2016 14:00,0.0,0.0,0.0,0.0,0.0
29-Oct-2016 14:00,29-Oct-2016 15:00,0.0,0.0,0.0,0.0,0.0
29-Oct-2016 15:00,29-Oct-2016 16:00,0.0,0.235147676279035,1.0,0.0,0.0
29-Oct-2016 16:00,29-Oct-2016 17:00,0.0,0.0318218864118058,1.0,0.0,0.0
29-Oct-2016 17:00,29-Oct-2016 18:00,0.0,0.0580759216804245,2.0,0.0,0.0
29-Oct-2016 18:00,29-Oct-2016 19:00,0.0,0.0,0.0,0.0,0.0
29-Oct-2016 19:00,29-Oct-2016 20:00,0.0,0.0349769844110412,0.0,0.0,0.0
29-Oct-2016 20:00,29-Oct-2016 21:00,0.0,0.0145276584745084,0.0,0.0,0.0
29-Oct-2016 21:00,29-Oct-2016 22:00,0.0,0.0342351934835967,0.0,0.0,0.0
29-Oct-2016 22:00,29-Oct-2016 23:00,0.0,0.0419805447244368,0.0,0.0,0.0
29-Oct-2016 23:00,30-Oct-2016 00:00,0.0,0.739777348103095,0.0,0.0,0.0
30-Oct-2016 00:00,30-Oct-2016 01:00,0.0,1.65129172041759,1.0,0.0,0.0
30-Oct-2016 01:00,30-Oct-2016 02:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 02:00,30-Oct-2016 03:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 03:00,30-Oct-2016 04:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 04:00,30-Oct-2016 05:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 05:00,30-Oct-2016 06:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 06:00,30-Oct-2016 07:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 07:00,30-Oct-2016 08:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 08:00,30-Oct-2016 09:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 09:00,30-Oct-2016 10:00,0.0,0.0148601353870261,0.0,0.0,0.0
30-Oct-2016 10:00,30-Oct-2016 11:00,0.0,0.924926510600429,3.0,0.0,0.0
30-Oct-2016 11:00,30-Oct-2016 12:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 12:00,30-Oct-2016 13:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 13:00,30-Oct-2016 14:00,0.0,0.793118189771798,1.0,0.0,0.0
30-Oct-2016 14:00,30-Oct-2016 15:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 15:00,30-Oct-2016 16:00,0.0,0.0475100413584637,1.0,0.0,0.0
30-Oct-2016 16:00,30-Oct-2016 17:00,0.0,0.0177277201145304,0.0,0.0,0.0
30-Oct-2016 17:00,30-Oct-2016 18:00,0.0,0.101198296303243,1.0,0.0,0.0
30-Oct-2016 18:00,30-Oct-2016 19:00,0.0,0.564994079941979,1.0,0.0,0.0
30-Oct-2016 19:00,30-Oct-2016 20:00,0.0,0.127938648569851,0.0,0.0,0.0
30-Oct-2016 20:00,30-Oct-2016 21:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 21:00,30-Oct-2016 22:00,0.0,0.0241837668018782,1.0,0.0,0.0
30-Oct-2016 22:00,30-Oct-2016 23:00,0.0,0.0,0.0,0.0,0.0
30-Oct-2016 23:00,31-Oct-2016 00:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 00:00,31-Oct-2016 01:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 01:00,31-Oct-2016 02:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 02:00,31-Oct-2016 03:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 03:00,31-Oct-2016 04:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 04:00,31-Oct-2016 05:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 05:00,31-Oct-2016 06:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 06:00,31-Oct-2016 07:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 07:00,31-Oct-2016 08:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 08:00,31-Oct-2016 09:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 09:00,31-Oct-2016 10:00,0.0,0.638711516065247,0.0,0.0,0.0
31-Oct-2016 10:00,31-Oct-2016 11:00,0.0,0.457610960670643,2.0,0.0,0.0
31-Oct-2016 11:00,31-Oct-2016 12:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 12:00,31-Oct-2016 13:00,0.0,0.0117190606855965,0.0,0.0,0.0
31-Oct-2016 13:00,31-Oct-2016 14:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 14:00,31-Oct-2016 15:00,0.0,0.253693430366662,1.0,0.0,0.0
31-Oct-2016 15:00,31-Oct-2016 16:00,0.0,0.108534906148099,0.0,0.0,0.0
31-Oct-2016 16:00,31-Oct-2016 17:00,0.0,0.238715319856671,0.0,0.0,0.0
31-Oct-2016 17:00,31-Oct-2016 18:00,0.0,0.546147038967103,1.0,0.0,0.0
31-Oct-2016 18:00,31-Oct-2016 19:00,0.0,0.0363293814132652,0.0,0.0,0.0
31-Oct-2016 19:00,31-Oct-2016 20:00,0.0,0.052599071422889,1.0,0.0,0.0
31-Oct-2016 20:00,31-Oct-2016 21:00,0.0,0.0119116857551886,0.0,0.0,0.0
31-Oct-2016 21:00,31-Oct-2016 22:00,0.0,0.0336037540761916,1.0,0.0,0.0
31-Oct-2016 22:00,31-Oct-2016 23:00,0.0,0.0,0.0,0.0,0.0
31-Oct-2016 23:00,01-Nov-2016 00:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 00:00,01-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 01:00,01-Nov-2016 02:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 02:00,01-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 03:00,01-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 04:00,01-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 05:00,01-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 06:00,01-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 07:00,01-Nov-2016 08:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 08:00,01-Nov-2016 09:00,0.0,0.0,0.0,0.0,0.0
